time_slot,genre,count,percent,total_in_time_slot
Morning,Pop,143,8.82,1621
Morning,Hip-Hop,155,9.56,1621
Morning,Rock,179,11.04,1621
Morning,EDM,183,11.29,1621
Morning,Jazz,173,10.67,1621
Morning,Classical,154,9.50,1621
Morning,Country,145,8.95,1621
Morning,R&B,164,10.12,1621
Morning,Reggae,167,10.30,1621
Morning,Metal,158,9.75,1621
Afternoon,Pop,154,9.42,1634
Afternoon,Hip-Hop,171,10.47,1634
Afternoon,Rock,159,9.73,1634
Afternoon,EDM,158,9.67,1634
Afternoon,Jazz,191,11.69,1634
Afternoon,Classical,146,8.94,1634
Afternoon,Country,183,11.20,1634
Afternoon,R&B,156,9.55,1634
Afternoon,Reggae,160,9.79,1634
Afternoon,Metal,156,9.55,1634
Night,Pop,165,9.46,1745
Night,Hip-Hop,159,9.11,1745
Night,Rock,178,10.20,1745
Night,EDM,187,10.72,1745
Night,Jazz,168,9.63,1745
Night,Classical,175,10.03,1745
Night,Country,156,8.94,1745
Night,R&B,175,10.03,1745
Night,Reggae,205,11.75,1745
Night,Metal,177,10.14,1745
